kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
NQU_gpgpusim.1.sm_89.ptx 157 : 55 275 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 156 : 55 220 0 2 2 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 126 : 7100 56800 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 125 : 7100 71000 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 124 : 7100 63900 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 106 : 413888 2897216 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 105 : 413888 3724992 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 154 : 841921 4209330 0 0 0 0 0 0 53 
NQU_gpgpusim.1.sm_89.ptx 153 : 841921 5051526 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 150 : 420933 2525598 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 149 : 420933 2358862 0 82330 36005 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 148 : 420933 2525598 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 147 : 420933 2525598 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 146 : 420933 2355304 0 82330 36005 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 145 : 420933 2525598 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 144 : 420933 2525598 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 143 : 420933 15037688 0 82330 36005 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 142 : 420933 2358413 0 82330 36005 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 141 : 420933 3788397 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 140 : 420933 2525598 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 139 : 420933 2525598 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 138 : 420933 14991068 0 82330 36005 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 137 : 420933 3788397 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 136 : 420933 2360408 0 82330 36005 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 135 : 420933 2525598 0 0 0 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 134 : 420933 14986726 0 82330 36005 0 0 0 0 
NQU_gpgpusim.1.sm_89.ptx 204 : 9600 57888 0 0 0 0 0 0 0 
